Title,Rating,Votes,Duration
129. Quo Vadis,7.6, (807),1h 30m
130. Death Game,6.5, (29),1h 28m
131. Sadik Ahmet,7.6, (446),2h 5m
132. Patrice: The Movie,8.2, (243),1h 42m
133. Blood'less' Revolution,6.7, (327),1h 43m
134. Janis Ian: Breaking Silence,7.8, (166),1h 54m
135. Ahl Al Kahf,5.3, (306),2h
"136. True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",6.7, (51),1h 30m
137. Panjab Files,8.2, (37),1h 57m
139. Jorge da Capadócia,5.8, (170),1h 59m
140. Komandir,6.3, (542),2h 11m
141. Memoir Seorang Guru,7.1, (138),2h
142. The Shadow,6.4, (288),1h 30m
144. Drama 1882,9.1, (22),45m
145. Obraz,7.4, (28),1h 35m
146. Mustafa,6.9, (77),1h 15m
147. Tears of Blood,9.7, (8),1h 28m
149. Six Nine Five (695),7.1, (710),2h 17m
150. Ecce Homo Brâncoveanu,6.9, (166),1h 32m
152. Hope of Escape,7.8, (47),1h 31m
153. The Fall of 2008,5.8, (12),1h 1m
154. Gadera,5.1, (51),1h 48m
155. Lafran,8.4, (20),1h 39m
156. Taghiev: Oil,9.2, (94),2h
157. Guadalupe: Mother of Humanity,6.9, (43),1h 42m
158. Giannis in the Cities,6.9, (28),1h 30m
159. Yakamoz,6.7, (20),1h 36m
160. Cinta Dari Timor,5.3, (24),1h 22m
"162. Carville: Winning Is Everything, Stupid",7.2, (283),1h 38m
165. Le choix du pianiste,6.2, (16),1h 46m
166. Burgemeestersmoord,6.5, (89),1h 54m
168. Meet the Roman Emperor with Mary Beard,7.7, (52),59m
169. Chernyy zamok,5.1, (66),1h 55m
170. Los indomables,6.5, (9),1h 46m
171. Sinhabahu,6.4, (99),1h 52m
172. Village of Death: Oradour-sur-Glane 1944,7.8, (17),58m
174. Cândido,6.4, (69),1h 39m
177. Solos en la noche,4.8, (107),1h 28m
178. Bach - Ein Weihnachtswunder,6.2, (173),1h 29m
179. Sragaal,8.5, (21),2h 20m
181. All or Nothin',7.8, (33),1h 35m
184. Myall Creek Day of Justice,6.4, (17),1h 18m
188. Ainda Somos os Mesmos,5.9, (48),1h 30m
189. Last Flamingo of the Red Summer Sunset,8.8, (14),1h 20m
190. Zhi Ci Qing Lv,6.6, (51),1h 29m
192. Aquarius,6.4, (26),1h 15m
194. Ett hjärta är alltid rött,7.1, (406),1h 43m
198. Ray of Hope,7.5, (13),1h 45m
199. Lulu in Turin,8.5, (6),1h 16m
200. Manyunya. Priklyucheniya v Moskve,5.6, (115),1h 27m
202. The Haka Party Incident,7.1, (15),1h 30m
206. Paul Anka: His Way,7.3, (12),1h 40m
214. Onihei Hankacho: Ketto,6.3, (17),1h 51m
215. I am Al Ittihad,5.0, (232),1h 30m
216. Bloodspawn,6.6, (14),1h 16m
217. Manyunya. Priklyucheniya v derevne,5.7, (126),1h 24m
220. The Birth of Korea,4.9, (131),1h 41m
221. Pirates & Slaves,5.8, (6),53m
223. North Korea: Dark Secrets,5.8, (84),1h 19m
"225. Colón ADN, su verdadero origen",6.4, (54),1h 46m
"226. À l'école de l'universel: Germaine Le Goff, l'histoire d'une pionnière",6.8, (6),53m
227. Powstaniec 1863,5.3, (149),1h 55m
228. Pol Pot Dancing,7.1, (14),1h 42m
229. Triumf,7.3, (9),1h 53m
237. The Words Women Spoke One Day,7.4, (7),1h 24m
240. Vremya vernutsya,6.8, (22),1h 40m
241. Piri Reis: The Incredible Chart,7.0, (27),2h 18m
246. Die Mutigen 56 - Deutschlands längster Streik,6.5, (11),1h 30m
253. Operation Star,7.8, (25),1h 42m
254. Azerbaijan Atabeyler,7.9, (8),1h 40m
"255. Gaza, since October 7",4.6, (7),1h 34m
"256. Zeme, kas dzied",6.4, (92),2h 30m
257. Who Killed Lawrence of Arabia?,6.5, (32),1h 40m
263. Churchill's Forgotten War,7.5, (16),47m
266. Wilhelm Gustloff,8.7, (9),1h 50m
267. And the Balls Roll On...: The Real Story of the Beautiful Game of Skee-Ball,9.0, (6),1h 33m
274. Nebesko,5.1, (11),1h 13m
276. C'era una volta il Derby Club,7.4, (17),1h 30m
287. Fast Track: Taking on the Speedway,9.4, (9),35m
288. Iyunskaya polyn,8.7, (7),1h 19m
289. Krigsvarsleren,7.8, (8),55m
300. Tayna Chyornoy Ruki,5.7, (24),1h 24m
301. The Canal Map of Britain,6.8, (10),59m
310. Ek Chilte Jol,9.2, (13),1h 59m
311. On Moral Grounds,8.4, (7),1h 14m
312. Oda: Vlucht door de Eeuwen,6.4, (7),1h 42m
323. Xun zhao tang de zhang,7.8, (16),1h 33m
324. The Man Outside,7.6, (12),1h 10m
"325. Georges Pompidou, la cruauté du pouvoir",6.5, (7),1h 44m
