Title,Rating,Votes,Duration,Genre
Officer Black Belt,6.9,9100,1.8,Action
Devara Part 1,6,22000,2.933333333,Action
Singham Again,4.3,75000,2.4,Action
Pins & Needles,5.9,69,1.583333333,Action
The Greatest of All Time,5.7,24000,3.05,Action
Paradox Effect,6,11000,1.45,Action
Night Call,6.7,2800,1.616666667,Action
Pani,6.9,3500,2.383333333,Action
Saripodhaa Sanivaaram,7,11000,2.766666667,Action
Guntur Kaaram,5.4,25000,2.65,Action
Badland Hunters,5.9,13000,1.783333333,Action
Harbin,6.2,1100,1.8,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,5100,1.566666667,Action
The Quiet Ones,6.1,1300,1.833333333,Action
Raayan,6.5,12000,2.416666667,Action
Despatch,4.4,4800,2.55,Action
Handsome Guys,6.4,1300,1.683333333,Action
Bougainvillea,6.4,3500,2.3,Action
11 Rebels,6.2,882,2.583333333,Action
A.R.M,7.1,9300,2.5,Action
12 Gaun,6.5,975,2.45,Action
UI,6.8,5800,2.25,Action
Roadkill,3.7,711,1.5,Action
Die Hart 2: Die Harter,4.3,5700,1.533333333,Action
"I, the Executioner",6.3,2200,1.966666667,Action
Escape,6.4,2300,1.566666667,Action
Overlord: The Sacred Kingdom,6.9,1600,2.25,Action
Levels,5,1700,1.55,Action
Yodha,5.7,9000,2.166666667,Action
Baby Assassins: Nice Days,7.1,463,1.716666667,Action
Hanu Man,7.7,30000,2.633333333,Action
Mafia Wars,3.6,309,1.633333333,Action
Escape from the 21st Century,6.4,1100,1.633333333,Action
Rifle Club,7,4700,1.883333333,Action
One Fast Move,5,2300,1.8,Action
The Courier,6,4700,1.683333333,Action
Tillu Square,6.6,3500,2.283333333,Action
Lights Out,4.9,1900,1.5,Action
Drive Back,4.5,768,1.566666667,Action
Death Whisperer 2,6.3,1600,1.833333333,Action
Zero,5.8,91,1.466666667,Action
In the Fire of War,6.7,296,1.916666667,Action
"Love, Courage and the Battle of Bushy Run",5,201,1.883333333,Action
Hitpig,5.2,1100,1.433333333,Action
The Friendly,8.8,42,1.683333333,Action
Air Force One Down,4.4,3000,1.4,Action
My Hero Academia: You're Next,6.9,2800,1.833333333,Action
The Wages of Fear,4.6,4300,1.733333333,Action
Bangkok Dog,4.6,276,1.483333333,Action
Jigra,6,24000,2.55,Action
A Legend,4.7,1100,2.15,Action
Bagheera,6.7,8100,2.633333333,Action
Hijack 1971,6.8,3600,1.666666667,Action
Dominique,5.3,2500,1.666666667,Action
Dark Match,5.4,1200,1.566666667,Action
Baby Invasion,4.6,645,1.333333333,Action
Savi,5.9,36000,2.1,Action
Kingdom 4: Return of the Great General,7.2,1500,2.416666667,Action
Justice League: Crisis on Infinite Earths - Part Two,5.6,5900,1.566666667,Action
Codename: Devil,6.6,1300,1.733333333,Action
The Price of Money: A Largo Winch Adventure,5.1,1400,1.666666667,Action
Article 370,7.8,25000,2.633333333,Action
Golden Kamuy,6.3,2700,2.116666667,Action
Prey,3.7,3700,1.433333333,Action
Fight Another Day,4.5,399,1.616666667,Action
Zebra,7.1,3400,2.733333333,Action
Trouble,6.2,7300,1.633333333,Action
Wynonna Earp: Vengeance,5.6,1700,1.6,Action
Big City Greens the Movie: Spacecation,6.2,623,1.383333333,Action
Panda Plan,5.1,1700,1.65,Action
Troubleshooters,6.4,436,1.833333333,Action
Bachhala Malli,8.2,4000,2.333333333,Action
Anaconda,4.9,699,1.4,Action
Alienoid: The Return to the Future,6.5,2900,2.033333333,Action
Latency,4.2,3000,1.566666667,Action
Garudan,7.1,3500,2.216666667,Action
Siren,6.4,3000,2.566666667,Action
Fluxx,5.6,137,1.666666667,Action
The Hangman,3.3,1100,1.533333333,Action
Outlaw,5.2,1000,1.366666667,Action
The Twisters,2.6,482,1.433333333,Action
Harom Hara,6.6,3100,2.566666667,Action
City Hunter,6.3,5800,1.7,Action
Hit List,5.6,351,2.083333333,Action
Duchess,4.6,1700,1.9,Action
September Babies,5,333,1.566666667,Action
Bureau 749,3.9,595,2.05,Action
Cesium Fallout,6.3,964,2.25,Action
Alangu,7.9,1500,2.183333333,Action
Agni,7.2,15000,2.033333333,Action
24 Hours to D-Day,2.8,140,1.383333333,Action
Invasion,4.8,775,1.516666667,Action
Sunray: Fallen Soldier,4.4,758,1.916666667,Action
The Kingdom,7,160,2.216666667,Action
Kahar: Kapla High Council,7.1,545,1.7,Action
Hellhound,4.3,539,1.716666667,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,2.566666667,Action
Tariq,6.2,18,2.033333333,Action
Por,5.1,634,2.566666667,Action
Sikandar Ka Muqaddar,6,25000,2.366666667,Action
High Forces,5.8,621,1.983333333,Action
Rode College,6.5,441,2.8,Action
Bidurbhai,9.2,429,2.466666667,Action
Citizen of a Kind,6.6,976,1.9,Action
Terminator: Skynet Rising,6.6,304,1.466666667,Action
Devil's Knight,5.2,996,1.5,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7,56,1.5,Action
American Warrior,8.6,31,1.55,Action
Bade Miyan Chote Miyan,3.8,40000,2.716666667,Action
My Fathers' Daughter,6.4,89,1.3,Action
Malaikottai Vaaliban,6,4200,2.6,Action
Blade of Fury,6.2,157,1.5,Action
Angels Fallen: Warriors of Peace,4.8,6500,1.716666667,Action
Utopia,3.7,504,1.516666667,Action
Kanguva,4.5,15000,2.533333333,Action
Six jours,5.7,303,1.583333333,Action
Vedaa,6,4600,2.416666667,Action
Pusaka,5.2,210,1.5,Action
Crisis Negotiators,6.7,774,2,Action
Neo-Dome,5.7,25,0.25,Action
Usha Parinayam,9,2100,2.4,Action
Where Is Gilgamesh?,8.9,640,1.5,Action
The Slave and the Sorcerer,6.5,49,1.433333333,Action
Darkness of Man,4.7,3300,1.816666667,Action
The Clean Up Crew,4.2,1300,1.583333333,Action
Villain - Life of a Gangster,8.7,170,2.35,Action
Thangalaan,6.5,6900,2.6,Action
Ayalaan,5.9,4100,2.583333333,Action
Hounds of War,4.5,2100,1.583333333,Action
Bheema,5.7,988,2.466666667,Action
The Thundermans Return,5,1900,1.166666667,Action
