Title,Rating,Votes,Duration
136. Devils Stay,4.8, (386),1h 35m
137. Blackwater Lane,4.6, (2.5K),1h 48m
138. Beezel,4.9, (1.7K),1h 21m
139. Milk & Serial,6.6, (2.8K),1h 2m
140. Test Screening,6.8, (72),1h 32m
141. Room Service,3.9, (337),47m
142. Pedro Páramo,6.3, (3.2K),2h 10m
143. Else,5.4, (579),1h 42m
144. Ba,5.8, (141),1h 19m
145. Handsome Guys,6.4, (1.3K),1h 41m
146. The Front Room,4.6, (6K),1h 34m
147. Outside,5.1, (4.9K),2h 22m
148. Handling the Undead,5.3, (4.7K),1h 37m
149. The Matriarch,8.1, (208),1h 22m
150. Kryptic,4.0, (683),1h 42m
151. #MissingCouple,5.3, (828),1h 33m
152. The Dead Thing,4.7, (1.1K),1h 34m
153. Pater Noster and the Mission of Light,7.1, (152),1h 36m
154. The Witch: Revenge,5.3, (906),1h 40m
155. Fear Cabin: The Last Weekend of Summer,3.6, (34),1h 17m
156. Jhamkudi,6.6, (1K),2h 31m
157. Desert Fiends,4.7, (957),1h 46m
158. House of Spoils,5.0, (4.1K),1h 41m
159. Drive Back,4.5, (768),1h 34m
160. Succubus,3.5, (917),1h 36m
161. Death Whisperer 2,6.3, (1.6K),1h 50m
162. A Desert,5.6, (663),1h 43m
163. The Severed Sun,4.9, (449),1h 20m
164. The Mouse Trap,2.4, (3.7K),1h 20m
165. Believer,4.6, (472),1h 48m
166. You Can't Run Forever,4.5, (4.5K),1h 42m
167. Parvulos,6.6, (434),1h 59m
168. Death's Sonata,8.4, (562),1h 43m
169. Little Bites,4.7, (1.4K),1h 45m
170. Missing Child Videotape,5.5, (272),1h 44m
171. Heresy,6.8, (336),1h 1m
172. The Hunted,5.1, (435),1h 34m
173. Night of the Zoopocalypse,6.0, (1.1K),1h 31m
174. Love Me Dead,6.6, (45),1h 27m
175. Up the Catalogue,8.2, (13),1h 12m
176. Pechi,5.5, (1.6K),1h 50m
177. Mr. Crocket,5.4, (5K),1h 28m
178. Strange Frequencies: Taiwan Killer Hospital,7.2, (76),1h 31m
179. Barda,4.6, (756),1h 39m
180. Munkar,5.2, (581),1h 27m
181. Dark Match,5.4, (1.2K),1h 34m
182. Baby Invasion,4.6, (645),1h 20m
183. The Gesuidouz,6.7, (100),1h 33m
184. Desert Road,6.8, (169),1h 30m
